pid,pname,author,pdetail,category,price,did,image
1234,InkHeart,"Cornelia Funke","A young girl discovers her father has an 

amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them 

all with the help of her father her aunt and a storybooks hero.",Literature,450,78rha27,image/pqr.jpg
1235,"HP and the Philosophers Stone","J.K. Rowling","The follow-up to ""Harry 

Potter and the Sorcerers Stone"" finds young wizard Harry Potter (Daniel Radcliffe) and his friends, Ron (Rupert 

Grint) and Hermione (Emma Watson), facing new challenges during their second year at Hogwarts School of 

Witchcraft and Wizardry as they try to discover a dark force that is terrorizing the school.",Literature,275,12paya45,image/Philostone.jpg
1236,"The Secret of the Nagas","Amish Tripathi","The Secret of the Nagas is the 

second novel of the Shiva trilogy series by the Indian author Amish Tripathi.",Literature,275,joey,image/The_Secret_of_the_Nagas.jpg
1237,InkSpell,"Cornelia Funke","Fourteen-year-old Meggie is back at home 

after the intrigue and adventure she encountered in Inkheart (Chicken House, 2003), the first volume in this 

projected trilogy.",Literature,311,56576,image/InkspellBookCover.jpg
1238,"HPand the Goblet of Fire  ","J.K. Rowling","The Triwizard Tournament is 

to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter but that doesnt stop Harry 

dreaming that he will win the competition.",Literature,524,wdsds,image/Harry_Potter_and_the_Goblet_of_Fire_film_.jpg
1239,"HP and deathly hallows","J.K. Rowling","As he climbs into the sidecar of 

Hagrids motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord 

Voldemort and the Death Eaters are not far behind",Literature,482,78rha27,"image/deathly hallows.jpg"
1240,"HP and the Chamber of Secrets","J.K. Rowling","Harry Potters summer 

has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the 

Dursleys by his friend Ron Weasley in a magical flying car! Back at Hog",Literature,283,joey,image/Harry_Potter_and_the_Chamber_of_Secrets_movie.jpg
1241,"HP and the half  blood Prince","J.K. Rowling","As Voldemorts sinister 

forces amass and a spirit of gloom and fear sweeps the land, it becomes increasingly clear to Harry that he will 

soon have to confront his destiny",Literature,482,wdsds,"image/half  blood.jpg"
1242,"HP and the prisoner of azkaban ","J.K. Rowling","When the Knight Bus 

crashes through the darkness and screeches to a halt in front of him, its the start of another far from ordinary 

year at Hogwarts for Harry Potter.",Literature,344,12paya45,"image/hp prisoner of azk.jpg"
1243,"HP and the Order Of Phonix","J.K. Rowling","Dark times have come to 

Hogwarts. After the Dementors attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at 

nothing to find him. ",Literature,524,56576,image/abcpqr.jpg
1244,"Catching Fire","Suzanne Collins","Against all odds, Katniss Everdeen has 

won the annual Hunger Games with fellow district tribute Peeta Mellark. But it was a victory won by defiance of 

the Capitol and their harsh rules.","Science Fiction",350,12paya45,image/6148028.jpg
1245,Starplex,"Robert J Sawyer","Robert J. Sawyers book ""Starplex"" was one of 

the most entertaining, thought-provoking, and mind-twisting books Ive read in a long time","Science Fiction",1231,joey,image/starplex.gif
